time	V(c,n)
0.000000000000000e+000	-1.696440e+002
6.30000e-06	-1.65010e+02
7.00000e-06	-1.64964e+02
1.13300e-04	-1.94011e+02
1.14000e-04	-1.93732e+02
1.98000e-04	-1.32281e+02
2.05300e-04	-1.27036e+02
2.06000e-04	-1.27002e+02
2.46880e-04	-1.39048e+02
3.11300e-04	-1.58585e+02
3.12000e-04	-1.58329e+02
3.23300e-04	-1.50454e+02
3.24000e-04	-1.50437e+02
4.24300e-04	-1.82047e+02
4.25000e-04	-1.81797e+02
4.99429e-04	-1.30449e+02
5.29300e-04	-1.10136e+02
5.30000e-04	-1.10135e+02
5.85429e-04	-1.29108e+02
6.27300e-04	-1.43796e+02
6.28000e-04	-1.43573e+02
6.42300e-04	-1.34264e+02
6.43000e-04	-1.34279e+02
7.35300e-04	-1.67735e+02
7.36000e-04	-1.67519e+02
8.22000e-04	-1.12373e+02
8.54300e-04	-9.20825e+01
8.55000e-04	-9.21179e+01
9.04276e-04	-1.11567e+02
9.43300e-04	-1.27246e+02
9.44000e-04	-1.27059e+02
9.61300e-04	-1.16694e+02
9.62000e-04	-1.16747e+02
1.04530e-03	-1.51346e+02
1.04600e-03	-1.51167e+02
1.08800e-03	-1.26370e+02
1.14686e-03	-9.20463e+01
1.17930e-03	-7.35353e+01
1.18000e-03	-7.36114e+01
1.22088e-03	-9.20945e+01
1.25830e-03	-1.09263e+02
1.25900e-03	-1.09116e+02
1.28130e-03	-9.70343e+01
1.28200e-03	-9.71277e+01
1.35630e-03	-1.32351e+02
1.35700e-03	-1.32214e+02
1.41000e-03	-1.04105e+02
1.46400e-03	-7.59392e+01
1.50430e-03	-5.54540e+01
1.50500e-03	-5.55749e+01
1.56243e-03	-8.52876e+01
1.57230e-03	-9.04382e+01
1.57300e-03	-9.03346e+01
1.60230e-03	-7.62891e+01
1.60300e-03	-7.64272e+01
1.66657e-03	-1.10607e+02
1.66700e-03	-1.10607e+02
1.73100e-03	-8.08479e+01
1.78043e-03	-5.83840e+01
1.82930e-03	-3.68578e+01
1.83000e-03	-3.70275e+01
1.88630e-03	-7.00269e+01
1.88700e-03	-6.99704e+01
1.92330e-03	-5.50361e+01
1.92400e-03	-5.52227e+01
1.97630e-03	-8.69413e+01
1.97700e-03	-8.68966e+01
2.05200e-03	-5.73126e+01
2.09829e-03	-3.96371e+01
2.15410e-03	-1.90983e+01
2.15500e-03	-1.92823e+01
2.19930e-03	-4.84541e+01
2.20000e-03	-4.84474e+01
2.24530e-03	-3.30887e+01
2.24600e-03	-3.33270e+01
2.28730e-03	-6.13949e+01
2.28800e-03	-6.14014e+01
2.35914e-03	-3.86027e+01
2.40343e-03	-2.49087e+01
2.45314e-03	-1.01977e+01
2.47830e-03	-3.02713e+00
2.47900e-03	-3.30311e+00
2.51130e-03	-2.70021e+01
2.51200e-03	-2.70473e+01
2.56830e-03	-1.21989e+01
2.56900e-03	-1.24911e+01
2.59730e-03	-3.38627e+01
2.59800e-03	-3.39220e+01
2.66371e-03	-1.78590e+01
2.71184e-03	-6.62139e+00
2.74688e-03	1.10031e+00
2.80330e-03	1.29015e+01
2.80400e-03	1.25692e+01
2.82430e-03	-3.90806e+00
2.82500e-03	-4.00713e+00
2.88157e-03	6.55930e+00
2.89130e-03	8.27385e+00
2.89200e-03	7.92558e+00
2.90830e-03	-5.65339e+00
2.90900e-03	-5.76709e+00
2.94988e-03	1.08714e+00
3.01000e-03	1.06056e+01
3.05271e-03	1.67529e+01
3.09729e-03	2.26897e+01
3.12730e-03	2.63942e+01
3.12800e-03	2.60050e+01
3.13530e-03	1.95227e+01
3.13600e-03	1.93694e+01
3.19171e-03	2.54317e+01
3.21430e-03	2.76651e+01
3.21500e-03	2.72601e+01
3.21930e-03	2.33609e+01
3.22000e-03	2.31924e+01
3.28114e-03	2.84764e+01
3.33400e-03	3.23987e+01
3.38586e-03	3.54638e+01
3.44730e-03	3.83794e+01
3.44800e-03	3.88785e+01
3.45130e-03	4.23030e+01
3.45200e-03	4.25640e+01
3.50771e-03	4.42107e+01
3.53030e-03	4.47225e+01
3.53100e-03	4.52067e+01
3.53830e-03	5.26639e+01
3.53900e-03	5.29092e+01
3.57988e-03	5.32257e+01
3.64500e-03	5.29449e+01
3.70086e-03	5.17666e+01
3.75830e-03	4.99361e+01
3.75900e-03	5.03809e+01
3.77530e-03	6.61391e+01
3.77600e-03	6.63435e+01
3.83257e-03	6.34452e+01
3.84230e-03	6.29098e+01
3.84300e-03	6.33396e+01
3.86330e-03	8.25195e+01
3.86400e-03	8.27076e+01
3.91886e-03	7.85185e+01
3.96100e-03	7.47907e+01
4.01543e-03	6.92227e+01
4.06830e-03	6.33161e+01
4.06900e-03	6.37058e+01
