time	V(c,n)
0.000000000000000e+000	-1.696440e+002	
6.70000e-06	-1.64808e+02
1.13300e-04	-1.94028e+02
1.14000e-04	-1.93738e+02
2.05700e-04	-1.26758e+02
2.06000e-04	-1.27002e+02
2.87840e-04	-1.51293e+02
3.11300e-04	-1.58602e+02
3.12000e-04	-1.58336e+02
3.23700e-04	-1.50266e+02
4.24300e-04	-1.82064e+02
4.25000e-04	-1.81804e+02
5.29000e-04	-1.10151e+02
5.43857e-04	-1.12724e+02
5.57714e-04	-1.19548e+02
6.27300e-04	-1.43765e+02
6.28000e-04	-1.43597e+02
6.42700e-04	-1.34093e+02
7.35300e-04	-1.67752e+02
7.36000e-04	-1.67525e+02
8.42400e-04	-9.93477e+01
8.54700e-04	-9.19279e+01
9.43000e-04	-1.27036e+02
9.43300e-04	-1.27284e+02
9.44000e-04	-1.27059e+02
9.61700e-04	-1.16545e+02
1.04530e-03	-1.51363e+02
1.04600e-03	-1.51173e+02
1.14043e-03	-9.56425e+01
1.17970e-03	-7.33977e+01
1.25830e-03	-1.09235e+02
1.25900e-03	-1.09139e+02
1.28170e-03	-9.69074e+01
1.35630e-03	-1.32368e+02
1.35700e-03	-1.32220e+02
1.45600e-03	-7.99254e+01
1.50470e-03	-5.53399e+01
1.57230e-03	-9.04258e+01
1.57300e-03	-9.03521e+01
1.60270e-03	-7.61872e+01
1.66690e-03	-1.10727e+02
1.76000e-03	-6.74216e+01
1.76030e-03	-6.75077e+01
1.81929e-03	-4.10773e+01
1.82970e-03	-3.67795e+01
1.88630e-03	-7.00430e+01
1.88700e-03	-6.99772e+01
1.92370e-03	-5.49615e+01
1.97630e-03	-8.69578e+01
1.97700e-03	-8.69033e+01
2.07500e-03	-4.83051e+01
2.07530e-03	-4.83720e+01
2.14286e-03	-2.30319e+01
2.15470e-03	-1.90117e+01
2.19930e-03	-4.84704e+01
2.20000e-03	-4.84542e+01
2.24570e-03	-3.30430e+01
2.28730e-03	-6.14114e+01
2.28800e-03	-6.14081e+01
2.39000e-03	-2.88112e+01
2.39030e-03	-2.89795e+01
2.45314e-03	-1.00349e+01
2.47870e-03	-3.00554e+00
2.51130e-03	-2.70186e+01
2.51200e-03	-2.70540e+01
2.56870e-03	-1.21833e+01
2.59730e-03	-3.38793e+01
2.59800e-03	-3.39286e+01
2.69000e-03	-1.14961e+01
2.69030e-03	-1.16085e+01
2.74688e-03	1.21450e+00
2.80370e-03	1.28989e+01
2.82430e-03	-3.92464e+00
2.82500e-03	-4.01377e+00
2.89170e-03	8.32817e+00
2.89200e-03	7.92558e+00
2.90830e-03	-5.66950e+00
2.90900e-03	-5.77392e+00
2.99084e-03	7.77485e+00
3.06757e-03	1.88940e+01
3.12770e-03	2.63704e+01
3.13530e-03	1.95059e+01
3.13600e-03	1.93628e+01
3.21400e-03	2.77944e+01
3.21900e-03	2.43082e+01
3.21910e-03	2.35101e+01
3.22000e-03	2.31490e+01
3.29643e-03	2.98160e+01
3.38586e-03	3.56446e+01
3.44730e-03	3.83632e+01
3.44800e-03	3.88717e+01
3.45170e-03	4.26239e+01
3.53030e-03	4.47676e+01
3.53100e-03	4.51769e+01
3.53870e-03	5.29820e+01
3.62084e-03	5.32661e+01
3.70086e-03	5.18993e+01
3.75830e-03	4.99199e+01
3.75900e-03	5.03741e+01
3.77570e-03	6.64355e+01
3.84230e-03	6.29139e+01
3.84300e-03	6.33252e+01
3.86370e-03	8.28072e+01
3.94629e-03	7.62659e+01
4.04171e-03	6.64804e+01
4.06830e-03	6.32896e+01
4.06900e-03	6.37029e+01
4.09870e-03	8.99864e+01
4.15430e-03	8.25630e+01
4.15500e-03	8.29468e+01
4.18770e-03	1.11144e+02
4.27600e-03	9.67656e+01
4.27630e-03	9.64411e+01
4.33157e-03	8.64657e+01
4.37930e-03	7.71604e+01
4.38000e-03	7.75043e+01
4.42070e-03	1.10312e+02
4.46769e-03	1.00319e+02
4.51270e-03	1.35635e+02
4.51300e-03	1.35453e+02
4.59100e-03	1.16510e+02
4.59130e-03	1.16200e+02
4.68900e-03	9.05116e+01
4.68910e-03	9.01988e+01
4.69000e-03	9.04148e+01
4.74270e-03	1.28924e+02
4.74300e-03	1.28732e+02
4.78030e-03	1.17967e+02
4.78100e-03	1.18243e+02
4.83770e-03	1.58356e+02
4.83800e-03	1.58127e+02
4.90500e-03	1.36614e+02
4.90600e-03	1.36124e+02
4.98171e-03	1.10476e+02
5.00091e-03	1.03775e+02
5.06470e-03	1.45725e+02
5.06500e-03	1.45459e+02
5.09430e-03	1.34836e+02
5.09500e-03	1.35061e+02
5.16230e-03	1.77837e+02
5.21900e-03	1.56465e+02
5.21910e-03	1.55417e+02
5.31000e-03	1.17910e+02
5.31030e-03	1.17663e+02
5.31100e-03	1.17877e+02
5.38470e-03	1.60991e+02
5.38500e-03	1.60746e+02
5.40830e-03	1.50663e+02
5.40900e-03	1.50840e+02
5.48700e-03	1.94956e+02
5.53200e-03	1.81232e+02
5.53210e-03	1.74262e+02
5.62030e-03	1.31850e+02
5.62100e-03	1.31895e+02
5.70470e-03	1.75299e+02
5.70500e-03	1.75003e+02
5.72330e-03	1.65865e+02
5.72400e-03	1.65995e+02
5.79943e-03	2.03699e+02
5.81270e-03	2.09914e+02
5.90100e-03	1.62327e+02
5.90130e-03	1.61950e+02
5.93130e-03	1.45536e+02
5.93200e-03	1.45633e+02
6.02470e-03	1.87799e+02
6.02500e-03	1.87491e+02
6.03930e-03	1.79456e+02
6.04000e-03	1.79543e+02
6.12184e-03	2.15363e+02
6.13670e-03	2.21389e+02
6.24100e-03	1.58644e+02
6.24130e-03	1.58271e+02
6.24200e-03	1.58387e+02
6.34270e-03	1.98354e+02
6.34300e-03	1.98034e+02
6.35530e-03	1.90420e+02
6.35600e-03	1.90467e+02
6.44600e-03	2.24737e+02
6.46170e-03	2.30209e+02
6.55230e-03	1.70714e+02
6.55300e-03	1.70678e+02
6.66070e-03	2.07816e+02
6.66100e-03	2.07463e+02
6.67230e-03	1.99883e+02
6.67300e-03	1.99893e+02
6.76471e-03	2.30144e+02
6.78570e-03	2.36523e+02
6.86430e-03	1.81081e+02
6.86500e-03	1.81066e+02
6.97770e-03	2.14690e+02
6.97800e-03	2.14341e+02
6.99030e-03	2.05530e+02
6.99100e-03	2.05508e+02
7.09100e-03	2.34066e+02
7.09130e-03	2.33975e+02
7.10870e-03	2.38635e+02
7.17530e-03	1.88992e+02
7.17600e-03	1.88951e+02
7.29470e-03	2.19879e+02
7.29500e-03	2.19525e+02
7.30930e-03	2.08750e+02
7.31000e-03	2.08703e+02
7.41500e-03	2.34940e+02
7.43170e-03	2.38698e+02
7.48830e-03	1.94725e+02
7.48900e-03	1.94663e+02
7.60970e-03	2.22533e+02
7.61000e-03	2.22188e+02
7.62830e-03	2.07875e+02
7.62900e-03	2.07808e+02
7.74814e-03	2.34378e+02
7.75470e-03	2.35552e+02
7.80081e-03	1.98786e+02
7.92470e-03	2.24900e+02
7.92500e-03	2.24539e+02
7.94830e-03	2.05845e+02
7.94900e-03	2.05765e+02
8.07670e-03	2.31810e+02
8.07700e-03	2.31416e+02
8.11330e-03	2.01959e+02
8.11400e-03	2.01873e+02
8.23970e-03	2.26600e+02
8.26930e-03	2.02362e+02
8.27000e-03	2.02274e+02
8.39770e-03	2.26918e+02
8.42730e-03	2.02577e+02
8.42800e-03	2.02486e+02
8.55270e-03	2.26139e+02
8.59030e-03	1.95162e+02
8.59100e-03	1.95070e+02
8.71870e-03	2.19348e+02
8.74130e-03	2.00767e+02
8.74200e-03	2.00676e+02
8.86670e-03	2.24449e+02
8.91230e-03	1.86977e+02
8.91300e-03	1.86886e+02
9.03870e-03	2.11377e+02
9.05630e-03	1.97019e+02
9.05700e-03	1.96933e+02
9.17870e-03	2.21071e+02
9.23430e-03	1.75881e+02
9.23500e-03	1.75798e+02
9.34386e-03	1.98306e+02
9.35770e-03	2.01206e+02
9.37230e-03	1.89498e+02
9.37300e-03	1.89423e+02
9.49070e-03	2.14607e+02
9.55830e-03	1.60834e+02
9.55900e-03	1.60800e+02
9.61688e-03	1.73864e+02
9.67670e-03	1.87721e+02
9.68830e-03	1.78687e+02
9.68900e-03	1.78628e+02
9.80270e-03	2.05822e+02
9.88130e-03	1.45416e+02
9.88200e-03	1.45442e+02
9.96271e-03	1.66195e+02
9.99370e-03	1.74396e+02
1.00063e-02	1.64993e+02
1.00070e-02	1.64957e+02
1.01137e-02	1.94031e+02
1.01971e-02	1.32834e+02
1.02053e-02	1.27021e+02
1.02060e-02	1.26995e+02
1.02469e-02	1.39033e+02
1.03117e-02	1.58617e+02
1.03233e-02	1.50437e+02
1.03240e-02	1.50430e+02
1.04247e-02	1.82084e+02
1.04994e-02	1.30373e+02
1.05293e-02	1.10120e+02
1.05300e-02	1.10129e+02
1.05993e-02	1.33885e+02
1.06277e-02	1.43848e+02
1.06423e-02	1.34247e+02
1.06430e-02	1.34273e+02
1.07357e-02	1.67791e+02
1.07660e-02	1.48185e+02
1.08424e-02	9.94333e+01
1.08543e-02	9.20668e+01
1.08550e-02	9.21108e+01
1.09043e-02	1.11526e+02
1.09437e-02	1.27318e+02
1.09613e-02	1.16677e+02
1.09620e-02	1.16740e+02
1.10457e-02	1.51423e+02
1.10880e-02	1.26367e+02
1.11597e-02	8.45763e+01
1.11793e-02	7.35189e+01
1.11800e-02	7.36047e+01
1.12469e-02	1.03927e+02
1.12587e-02	1.09358e+02
1.12813e-02	9.70171e+01
1.12820e-02	9.71212e+01
1.13567e-02	1.32452e+02
1.14100e-02	1.04089e+02
1.14720e-02	7.17692e+01
1.15043e-02	5.54369e+01
1.15050e-02	5.55684e+01
1.15727e-02	9.05568e+01
1.16023e-02	7.62718e+01
1.16030e-02	7.64207e+01
1.16670e-02	1.10740e+02
1.17030e-02	9.37436e+01
1.17610e-02	6.71271e+01
1.18293e-02	3.67631e+01
1.18300e-02	3.70275e+01
1.18867e-02	7.01725e+01
1.19233e-02	5.49984e+01
1.19240e-02	5.52227e+01
1.19767e-02	8.70947e+01
1.20520e-02	5.72146e+01
1.21206e-02	3.12706e+01
1.21543e-02	1.90433e+01
1.21550e-02	1.92758e+01
1.21997e-02	4.86285e+01
1.22453e-02	3.30710e+01
1.22460e-02	3.33207e+01
1.22877e-02	6.15775e+01
1.23591e-02	3.85038e+01
1.24283e-02	1.73918e+01
1.24783e-02	3.00064e+00
1.24790e-02	3.30013e+00
1.25117e-02	2.72063e+01
1.25683e-02	1.21810e+01
1.25690e-02	1.24850e+01
1.25977e-02	3.40754e+01
1.26506e-02	2.09575e+01
1.27177e-02	5.23440e+00
1.27878e-02	-9.80245e+00
1.28033e-02	-1.29181e+01
1.28040e-02	-1.25759e+01
1.28247e-02	4.14307e+00
1.28816e-02	-6.65119e+00
1.28913e-02	-8.28901e+00
1.28920e-02	-7.93279e+00
1.29087e-02	5.89669e+00
1.29499e-02	-1.14000e+00
1.30230e-02	-1.25985e+01
1.30973e-02	-2.27644e+01
1.31273e-02	-2.64111e+01
1.31280e-02	-2.60115e+01
1.31357e-02	-1.92587e+01
1.31917e-02	-2.55194e+01
1.32143e-02	-2.76815e+01
1.32150e-02	-2.72668e+01
1.32197e-02	-2.30910e+01
1.32659e-02	-2.72766e+01
1.33400e-02	-3.28729e+01
1.34164e-02	-3.70610e+01
1.34477e-02	-3.84859e+01
1.34513e-02	-4.23193e+01
1.34520e-02	-4.25707e+01
1.35189e-02	-4.45266e+01
1.35307e-02	-4.48203e+01
1.35383e-02	-5.26806e+01
1.35390e-02	-5.29158e+01
1.35799e-02	-5.32477e+01
1.36577e-02	-5.28500e+01
1.37437e-02	-5.05136e+01
1.37587e-02	-5.00109e+01
1.37753e-02	-6.61563e+01
1.37760e-02	-6.63500e+01
1.38427e-02	-6.29777e+01
1.38633e-02	-8.25390e+01
1.38640e-02	-8.27131e+01
1.39326e-02	-7.74505e+01
1.40023e-02	-7.07036e+01
1.40687e-02	-6.33602e+01
1.40983e-02	-8.97481e+01
1.40990e-02	-8.98717e+01
1.41547e-02	-8.26152e+01
1.41873e-02	-1.10921e+02
1.41880e-02	-1.11019e+02
1.42372e-02	-1.03225e+02
1.42960e-02	-9.30435e+01
1.43797e-02	-7.71895e+01
1.44203e-02	-1.10120e+02
1.44210e-02	-1.10167e+02
1.44679e-02	-1.00362e+02
1.44680e-02	-1.00605e+02
1.45123e-02	-1.35414e+02
1.45130e-02	-1.35453e+02
1.45539e-02	-1.25651e+02
1.46203e-02	-1.08824e+02
1.46897e-02	-9.01589e+01
1.47423e-02	-1.28765e+02
1.47430e-02	-1.28732e+02
1.47807e-02	-1.17957e+02
1.48290e-02	-1.52391e+02
1.48373e-02	-1.58125e+02
1.48380e-02	-1.58134e+02
1.48954e-02	-1.39729e+02
1.49720e-02	-1.13788e+02
1.50000e-02	-1.04155e+02
1.50087e-02	-1.10114e+02
1.50643e-02	-1.46530e+02
1.50650e-02	-1.46502e+02
1.50947e-02	-1.35821e+02
1.51429e-02	-1.66610e+02
1.51623e-02	-1.78720e+02
1.51630e-02	-1.78674e+02
1.52258e-02	-1.53698e+02
1.53107e-02	-1.18454e+02
1.53841e-02	-1.61560e+02
1.53850e-02	-1.61499e+02
1.54087e-02	-1.51295e+02
1.54536e-02	-1.76838e+02
1.54873e-02	-1.95538e+02
1.54880e-02	-1.95439e+02
1.55330e-02	-1.74346e+02
1.56207e-02	-1.32062e+02
1.56921e-02	-1.69218e+02
1.57043e-02	-1.75370e+02
1.57050e-02	-1.75246e+02
1.57237e-02	-1.65979e+02
1.57745e-02	-1.91525e+02
1.58123e-02	-2.09907e+02
1.58130e-02	-2.09760e+02
1.58460e-02	-1.92119e+02
1.59317e-02	-1.45340e+02
1.60109e-02	-1.81519e+02
1.60243e-02	-1.87479e+02
1.60250e-02	-1.87311e+02
1.60397e-02	-1.79136e+02
1.60809e-02	-1.97354e+02
1.61363e-02	-2.21058e+02
1.61370e-02	-2.20851e+02
1.62051e-02	-1.80031e+02
1.62417e-02	-1.57836e+02
1.63238e-02	-1.90680e+02
1.63423e-02	-1.97859e+02
1.63430e-02	-1.97651e+02
1.63557e-02	-1.89886e+02
1.64010e-02	-2.07364e+02
1.64613e-02	-2.29790e+02
1.64620e-02	-2.29534e+02
1.65527e-02	-1.70120e+02
1.66447e-02	-2.02114e+02
1.66603e-02	-2.07346e+02
1.66610e-02	-2.07102e+02
1.66727e-02	-1.99358e+02
1.67341e-02	-2.19876e+02
1.67853e-02	-2.36201e+02
1.67860e-02	-2.35924e+02
1.68647e-02	-1.80631e+02
1.69548e-02	-2.07833e+02
1.69773e-02	-2.14417e+02
1.69780e-02	-2.14141e+02
1.69907e-02	-2.05152e+02
1.70624e-02	-2.25897e+02
1.71083e-02	-2.38510e+02
1.71090e-02	-2.38214e+02
1.71757e-02	-1.88715e+02
1.72941e-02	-2.19882e+02
1.72950e-02	-2.19526e+02
1.73097e-02	-2.08546e+02
1.73889e-02	-2.28568e+02
1.74313e-02	-2.38762e+02
1.74320e-02	-2.38446e+02
1.74887e-02	-1.94594e+02
1.76093e-02	-2.22703e+02
1.76100e-02	-2.22303e+02
1.76287e-02	-2.07789e+02
1.77247e-02	-2.29412e+02
1.77543e-02	-2.35727e+02
1.77550e-02	-2.35395e+02
1.78010e-02	-1.98859e+02
1.78261e-02	-2.04440e+02
1.79243e-02	-2.25027e+02
1.79250e-02	-2.24689e+02
1.79487e-02	-2.05775e+02
1.80686e-02	-2.30459e+02
1.80763e-02	-2.31899e+02
1.80770e-02	-2.31560e+02
1.81137e-02	-2.01873e+02
1.82393e-02	-2.26768e+02
1.82400e-02	-2.26372e+02
1.82697e-02	-2.02252e+02
1.83973e-02	-2.27054e+02
1.83980e-02	-2.26661e+02
1.84277e-02	-2.02434e+02
1.85523e-02	-2.26245e+02
1.85530e-02	-2.25862e+02
1.85907e-02	-1.94983e+02
1.87183e-02	-2.19393e+02
1.87190e-02	-2.19044e+02
1.87417e-02	-2.00558e+02
1.88663e-02	-2.24481e+02
1.88670e-02	-2.24112e+02
1.89127e-02	-1.86736e+02
1.90383e-02	-2.11368e+02
1.90390e-02	-2.11024e+02
1.90567e-02	-1.96763e+02
1.91783e-02	-2.21055e+02
1.91790e-02	-2.20703e+02
1.92347e-02	-1.75612e+02
1.93573e-02	-2.01122e+02
1.93580e-02	-2.00857e+02
1.93727e-02	-1.89231e+02
1.94903e-02	-2.14573e+02
1.94910e-02	-2.14241e+02
1.95587e-02	-1.60598e+02
1.96760e-02	-1.87502e+02
1.96763e-02	-1.87719e+02
1.96770e-02	-1.87364e+02
